editPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,webLinkTimes,stuck
0,0,0,0,0,0,NO
40.425532,0,2.12766,25.531915,31.914894,0,NO
68.888889,0,0,0,31.111111,0,NO
36.206897,0,5.172414,58.62069,0,0,NO
67.44186,0,0,18.604651,13.953488,0,NO
76.470588,0,0,0,23.529412,3,NO
68,0,0,32,0,0,NO
74.074074,0,0,0,25.925926,0,NO
100,0,0,0,0,0,NO
71.428571,0,0,0,28.571429,0,NO
100,0,0,0,0,0,NO
38.888889,0,0,0,61.111111,1,NO
60,0,0,26.666667,13.333333,0,NO
65.625,0,6.25,12.5,15.625,0,NO
46.666667,0,0,0,53.333333,4,NO
50,0,9.090909,18.181818,22.727273,0,NO
50,0,0,28.571429,21.428571,0,NO
60,0,0,13.333333,26.666667,0,NO
66.666667,0,0,33.333333,0,0,NO
86.206897,0,6.896552,6.896552,0,1,NO
83.333333,0,10,6.666667,0,2,NO
60,0,4,16,20,1,NO
61.538462,0,0,23.076923,15.384615,0,NO
100,0,0,0,0,0,NO
69.69697,0,0,0,30.30303,0,NO
55.555556,0,7.407407,7.407407,29.62963,0,NO
62.5,0,0,25,12.5,0,NO
60,0,0,0,40,0,NO
56,0,8,16,20,0,NO
44,32,0,16,8,0,NO
72.222222,0,0,0,27.777778,0,NO
58.064516,22.580645,0,12.903226,6.451613,0,NO
36.363636,39.393939,0,18.181818,6.060606,0,NO
70,0,0,10,20,0,NO
75,0,0,0,25,0,NO
23.809524,59.52381,0,14.285714,2.380952,0,NO
25,45,0,20,10,0,NO
65,0,0,10,25,0,NO
71.428571,0,0,0,28.571429,0,NO
60.97561,0,4.878049,9.756098,24.390244,0,NO
62.222222,0,6.666667,4.444444,26.666667,5,NO
61.111111,0,0,16.666667,22.222222,0,NO
81.818182,0,6.060606,0,12.121212,4,NO
73.529412,0,0,11.764706,14.705882,5,NO
41.935484,38.709677,0,12.903226,6.451613,0,NO
47.222222,33.333333,0,11.111111,8.333333,0,NO
74.074074,0,0,0,25.925926,0,NO
45.714286,25.714286,0,22.857143,5.714286,1,NO
77.142857,0,0,5.714286,17.142857,0,NO
84,0,0,0,16,0,NO
70.967742,0,0,6.451613,22.580645,0,NO
75.862069,0,0,6.896552,17.241379,0,NO
76.666667,0,0,6.666667,16.666667,0,NO
64,0,0,0,36,0,NO
73.076923,0,0,0,26.923077,0,NO
90,0,0,0,10,0,NO
26.666667,30,0,13.333333,30,0,NO
76.470588,0,0,0,23.529412,0,NO
51.612903,29.032258,0,12.903226,6.451613,0,NO
57.142857,25,0,14.285714,3.571429,0,NO
25.925926,33.333333,0,29.62963,11.111111,0,NO
56.521739,30.434783,0,13.043478,0,0,NO
34.285714,31.428571,2.857143,20,11.428571,2,NO
54.545455,0,4.545455,27.272727,13.636364,0,NO
64,0,0,0,36,0,NO
55,0,0,20,25,0,NO
83.333333,0,0,16.666667,0,2,NO
65.217391,0,4.347826,26.086957,4.347826,0,NO
78.947368,0,10.526316,0,10.526316,0,NO
57.142857,0,0,14.285714,28.571429,0,NO
50,0,0,0,50,0,NO
64,0,4,0,32,0,NO
53.846154,0,0,0,46.153846,0,NO
42.857143,0,0,14.285714,42.857143,0,NO
63.157895,0,21.052632,0,15.789474,0,NO
73.333333,0,6.666667,6.666667,13.333333,0,NO
63.636364,0,0,0,36.363636,0,NO
68,0,0,0,32,0,NO
90.909091,0,0,9.090909,0,0,NO
57.142857,0,0,0,42.857143,0,NO
76.470588,0,0,11.764706,11.764706,0,NO
55,0,0,0,45,0,NO
57.894737,0,0,0,42.105263,0,NO
100,0,0,0,0,0,NO
82.352941,0,0,0,17.647059,0,NO
64.705882,0,0,0,35.294118,0,NO
89.655172,0,0,0,10.344828,0,NO
64.864865,0,0,0,35.135135,0,NO
100,0,0,0,0,0,NO
75.862069,0,3.448276,6.896552,13.793103,0,NO
64.516129,0,6.451613,0,29.032258,0,NO
66.666667,0,17.948718,15.384615,0,0,NO
57.142857,0,0,0,42.857143,0,NO
60.714286,0,0,0,39.285714,0,NO
81.25,0,0,0,18.75,0,NO
81.25,0,0,12.5,6.25,0,NO
81.25,0,6.25,0,12.5,0,NO
76.190476,0,0,0,23.809524,0,NO
62.5,0,12.5,25,0,0,NO
85,0,7.5,5,2.5,0,NO
66.666667,0,20,0,13.333333,0,NO
46.666667,0,26.666667,26.666667,0,0,NO
0,0,0,0,0,0,NO
57.407407,0,1.851852,22.222222,18.518519,0,NO
64.705882,0,0,0,35.294118,0,NO
30.188679,0,5.660377,62.264151,1.886792,10,NO
71.428571,0,3.571429,17.857143,7.142857,0,NO
80,0,0,20,0,0,NO
69.230769,0,0,15.384615,15.384615,2,NO
78.571429,0,0,21.428571,0,0,NO
80,0,0,5.714286,14.285714,0,NO
81.25,0,0,12.5,6.25,0,NO
73.076923,0,0,23.076923,3.846154,0,NO
100,0,0,0,0,0,NO
79.310345,0,0,0,20.689655,0,NO
75.757576,0,0,0,24.242424,0,NO
93.333333,0,6.666667,0,0,0,NO
80,0,0,0,20,0,NO
80.769231,0,0,0,19.230769,0,NO
54.761905,0,4.761905,33.333333,7.142857,0,NO
74.358974,0,0,10.25641,15.384615,3,NO
76.923077,0,0,15.384615,7.692308,0,NO
61.111111,0,0,11.111111,27.777778,19,NO
60.526316,0,0,26.315789,13.157895,2,NO
69.444444,0,8.333333,16.666667,5.555556,0,NO
68.421053,0,10.526316,10.526316,10.526316,0,NO
73.913043,0,0,0,26.086957,0,NO
82.608696,0,8.695652,0,8.695652,0,NO
82.142857,0,0,0,17.857143,0,NO
77.777778,0,0,0,22.222222,0,NO
74.074074,0,0,0,25.925926,0,NO
63.636364,0,0,0,36.363636,0,NO
72.222222,0,0,22.222222,5.555556,0,NO
68,0,0,16,16,0,NO
80,0,0,10,10,0,NO
59.259259,0,0,22.222222,18.518519,0,NO
41.666667,0,16.666667,33.333333,8.333333,0,NO
100,0,0,0,0,0,NO
60,0,0,13.333333,26.666667,0,NO
100,0,0,0,0,0,NO
100,0,0,0,0,0,NO
77.777778,0,0,22.222222,0,0,NO
100,0,0,0,0,0,NO
71.428571,0,0,14.285714,14.285714,0,NO
63.636364,0,0,18.181818,18.181818,0,NO
81.818182,0,0,0,18.181818,0,NO
81.818182,0,0,0,18.181818,0,NO
100,0,0,0,0,0,NO
61.538462,0,0,0,38.461538,0,NO
80,0,0,0,20,0,NO
66.666667,0,0,0,33.333333,0,NO
100,0,0,0,0,0,NO
69.230769,0,0,0,30.769231,0,NO
71.428571,0,0,0,28.571429,0,NO
60,0,0,0,40,0,NO
100,0,0,0,0,0,NO
81.818182,0,0,0,18.181818,0,NO
100,0,0,0,0,0,NO
100,0,0,0,0,0,NO
52.631579,0,0,0,47.368421,0,NO
55.555556,0,0,0,44.444444,0,NO
83.333333,0,0,0,16.666667,0,NO
57.142857,0,28.571429,0,14.285714,0,NO
100,0,0,0,0,0,NO
73.333333,0,0,0,26.666667,0,NO
100,0,0,0,0,0,NO
63.636364,0,0,0,36.363636,0,NO
60,0,0,0,40,0,NO
100,0,0,0,0,0,NO
100,0,0,0,0,0,NO
71.428571,0,0,0,28.571429,0,NO
63.636364,0,0,0,36.363636,0,NO
68.75,0,0,0,31.25,3,NO
70.588235,0,0,11.764706,17.647059,0,NO
85.714286,0,0,0,14.285714,0,NO
66.666667,0,0,0,33.333333,0,NO
71.428571,0,0,0,28.571429,0,NO
76.923077,0,0,0,23.076923,0,NO
90.909091,0,0,9.090909,0,0,NO
70,0,0,20,10,5,NO
73.333333,0,0,26.666667,0,0,NO
65.517241,0,0,20.689655,13.793103,0,NO
88.888889,0,0,0,11.111111,0,NO
88.461538,0,7.692308,0,3.846154,0,NO
50,31.25,6.25,12.5,0,0,NO
72.727273,0,0,9.090909,18.181818,0,NO
58.333333,27.777778,2.777778,11.111111,0,0,NO
56.25,0,0,0,43.75,0,NO
60,0,0,0,40,0,NO
58.823529,0,0,0,41.176471,0,NO
100,0,0,0,0,0,NO
36.363636,43.181818,2.272727,18.181818,0,0,NO
71.428571,0,9.52381,0,19.047619,0,NO
74.193548,0,9.677419,0,16.129032,0,NO
47.058824,29.411765,5.882353,11.764706,5.882353,0,NO
38.709677,29.032258,3.225806,12.903226,16.129032,0,NO
21.276596,57.446809,0,21.276596,0,0,NO
90.47619,0,0,0,9.52381,0,NO
56.25,0,0,0,43.75,0,NO
66.666667,0,0,7.407407,25.925926,0,NO
95,0,0,0,5,0,NO
79.166667,0,0,0,20.833333,0,NO
96,0,0,0,4,0,NO
87.5,0,0,0,12.5,0,NO
46.428571,32.142857,3.571429,7.142857,10.714286,0,NO
48.571429,25.714286,2.857143,5.714286,17.142857,0,NO
27.027027,48.648649,0,16.216216,8.108108,0,NO
35.897436,46.153846,5.128205,10.25641,2.564103,0,NO
0,0,0,0,0,0,NO
49.122807,0,1.754386,17.54386,31.578947,0,NO
58.181818,0,0,32.727273,9.090909,0,NO
27.118644,0,13.559322,57.627119,1.694915,0,NO
89.189189,0,5.405405,0,5.405405,0,NO
100,0,0,0,0,0,NO
100,0,0,0,0,0,NO
100,0,0,0,0,8,NO
70,0,10,20,0,2,NO
61.111111,0,5.555556,22.222222,11.111111,0,NO
71.428571,0,14.285714,0,14.285714,0,NO
100,0,0,0,0,0,NO
83.333333,0,16.666667,0,0,0,NO
83.333333,0,16.666667,0,0,0,NO
53.846154,0,15.384615,0,30.769231,0,NO
50,0,25,0,25,0,NO
61.904762,0,9.52381,19.047619,9.52381,0,NO
60,0,0,13.333333,26.666667,4,NO
68.421053,0,0,21.052632,10.526316,0,NO
100,0,0,0,0,0,NO
78.947368,0,10.526316,0,10.526316,0,NO
65,0,5,0,30,0,NO
100,0,0,0,0,0,NO
100,0,0,0,0,0,NO
50,0,0,0,50,0,NO
