editPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,webLinkTimes,stuck
30,50,0,18,2,3,NO
40,51.111111,2.222222,4.444444,2.222222,4,NO
52.173913,17.391304,4.347826,21.73913,4.347826,3,NO
5.172414,93.103448,0,0,1.724138,0,NO
16.363636,81.818182,0,0,1.818182,0,NO
25,53.846154,1.923077,13.461538,5.769231,8,NO
14.893617,76.595745,0,4.255319,4.255319,6,NO
8.510638,85.106383,0,4.255319,2.12766,6,NO
3.773585,92.45283,0,0,3.773585,0,NO
26.415094,64.150943,0,3.773585,5.660377,14,NO
34.615385,57.692308,0,0,7.692308,5,NO
31.372549,56.862745,0,3.921569,7.843137,4,NO
12.5,79.166667,0,8.333333,0,0,NO
32.653061,57.142857,4.081633,0,6.122449,0,NO
35.416667,58.333333,0,0,6.25,0,NO
29.166667,50,4.166667,8.333333,8.333333,4,NO
35.294118,58.823529,0,1.960784,3.921569,6,NO
22.727273,56.818182,2.272727,13.636364,4.545455,7,NO
26.315789,70.175439,0,0,3.508772,5,NO
22.916667,70.833333,0,0,6.25,9,NO
7.142857,82.142857,0,8.928571,1.785714,0,NO
47.826087,43.478261,0,0,8.695652,3,NO
5.263158,92.982456,0,0,1.754386,4,NO
3.921569,82.352941,0,3.921569,9.803922,0,NO
16.27907,76.744186,0,0,6.976744,0,NO
57.142857,42.857143,0,0,0,15,NO
25.454545,54.545455,0,3.636364,16.363636,12,NO
19.148936,23.404255,21.276596,12.765957,23.404255,8,NO
47.826087,19.565217,4.347826,28.26087,0,7,NO
34.090909,52.272727,4.545455,2.272727,6.818182,11,NO
24.528302,64.150943,0,7.54717,3.773585,13,NO
30.434783,50,0,13.043478,6.521739,0,NO
28.571429,59.183673,0,8.163265,4.081633,21,NO
46.938776,30.612245,0,16.326531,6.122449,0,NO
22.413793,74.137931,0,0,3.448276,3,NO
6,84,0,0,10,1,NO
44,26,0,24,6,0,NO
12.727273,80,0,0,7.272727,4,NO
11.111111,77.777778,0,11.111111,0,0,NO
20.754717,66.037736,1.886792,7.54717,3.773585,1,NO
44.444444,28.888889,6.666667,4.444444,15.555556,5,NO
40.816327,51.020408,4.081633,0,4.081633,4,NO
32,56,0,8,4,2,NO
17.307692,75,0,3.846154,3.846154,19,NO
31.25,37.5,0,20.833333,10.416667,2,NO
21.568627,68.627451,3.921569,3.921569,1.960784,0,NO
3.508772,96.491228,0,0,0,0,NO
10.169492,86.440678,0,3.389831,0,0,NO
1.724138,98.275862,0,0,0,0,NO
15.517241,79.310345,0,3.448276,1.724138,0,NO
11.864407,83.050847,0,3.389831,1.694915,0,NO
3.508772,91.22807,3.508772,0,1.754386,0,NO
5.084746,94.915254,0,0,0,0,NO
8.928571,89.285714,0,0,1.785714,0,NO
6.779661,91.525424,0,0,1.694915,0,NO
8.474576,89.830508,0,0,1.694915,0,NO
17.647059,68.627451,3.921569,7.843137,1.960784,0,NO
14.814815,77.777778,0,3.703704,3.703704,4,NO
7.272727,89.090909,0,3.636364,0,0,NO
8.928571,87.5,0,3.571429,0,0,NO
15.384615,65.384615,0,15.384615,3.846154,1,NO
41.935484,51.612903,3.225806,0,3.225806,6,NO
39.583333,50,2.083333,2.083333,6.25,3,NO
15.384615,78.846154,0,1.923077,3.846154,0,NO
33.333333,51.111111,0,8.888889,6.666667,0,NO
34.693878,51.020408,0,8.163265,6.122449,0,NO
0,0,0,0,0,1,NO
0,76.666667,0,23.333333,0,0,NO
0,93.333333,0,6.666667,0,0,NO
0,96.666667,0,3.333333,0,0,NO
0,100,0,0,0,0,NO
30,64,0,4,2,2,NO
28.571429,53.061224,0,14.285714,4.081633,1,NO
