editPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,webLinkTimes,stuck
30,50,0,18,2,3,NO
18.75,77.083333,0,0,4.166667,0,YES
14.545455,81.818182,0,3.636364,0,0,YES
7.692308,86.538462,0,5.769231,0,0,YES
40,51.111111,2.222222,4.444444,2.222222,4,NO
21.73913,52.173913,0,19.565217,6.521739,1,YES
52.173913,17.391304,4.347826,21.73913,4.347826,3,NO
31.372549,52.941176,0,9.803922,5.882353,0,YES
100,0,0,0,0,7,YES
18.75,72.916667,0,4.166667,4.166667,23,YES
5.172414,93.103448,0,0,1.724138,0,NO
16.363636,81.818182,0,0,1.818182,0,NO
25,53.846154,1.923077,13.461538,5.769231,8,NO
14.893617,76.595745,0,4.255319,4.255319,6,NO
8.510638,85.106383,0,4.255319,2.12766,6,NO
3.773585,92.45283,0,0,3.773585,0,NO
26.415094,64.150943,0,3.773585,5.660377,14,NO
34.615385,57.692308,0,0,7.692308,5,NO
31.372549,56.862745,0,3.921569,7.843137,4,NO
12.5,79.166667,0,8.333333,0,0,NO
32.653061,57.142857,4.081633,0,6.122449,0,NO
35.416667,58.333333,0,0,6.25,0,NO
29.166667,50,4.166667,8.333333,8.333333,4,NO
35.294118,58.823529,0,1.960784,3.921569,6,NO
23.684211,42.105263,0,21.052632,13.157895,3,YES
22.727273,56.818182,2.272727,13.636364,4.545455,7,NO
26.315789,70.175439,0,0,3.508772,5,NO
22.916667,70.833333,0,0,6.25,9,NO
28.571429,48.979592,0,16.326531,6.122449,0,YES
45.454545,0,0,54.545455,0,1,YES
34.782609,45.652174,0,13.043478,6.521739,0,YES
30.612245,57.142857,0,4.081633,8.163265,5,YES
36,58,2,0,4,0,YES
22.641509,77.358491,0,0,0,0,YES
19.607843,62.745098,0,7.843137,9.803922,3,YES
7.142857,82.142857,0,8.928571,1.785714,0,NO
47.826087,43.478261,0,0,8.695652,3,NO
5.263158,92.982456,0,0,1.754386,4,NO
14.285714,79.591837,0,4.081633,2.040816,1,YES
3.921569,82.352941,0,3.921569,9.803922,0,NO
16.363636,81.818182,0,0,1.818182,0,YES
16.27907,76.744186,0,0,6.976744,0,NO
57.142857,42.857143,0,0,0,15,NO
25.454545,54.545455,0,3.636364,16.363636,12,NO
19.148936,23.404255,21.276596,12.765957,23.404255,8,NO
47.826087,19.565217,4.347826,28.26087,0,7,NO
34.090909,52.272727,4.545455,2.272727,6.818182,11,NO
30.434783,50,0,13.043478,6.521739,0,NO
11.320755,81.132075,0,3.773585,3.773585,8,NO
14,78,0,8,0,0,NO
20.754717,75.471698,0,0,3.773585,3,NO
6,86,0,8,0,0,NO
44.444444,28.888889,6.666667,4.444444,15.555556,5,NO
17.857143,64.285714,0,17.857143,0,0,YES
13.461538,67.307692,1.923077,13.461538,3.846154,2,NO
7.272727,87.272727,0,0,5.454545,4,YES
21.818182,72.727273,0,3.636364,1.818182,0,YES
32,56,0,8,4,2,NO
31.25,37.5,0,20.833333,10.416667,2,NO
10.169492,86.440678,0,3.389831,0,0,NO
1.724138,98.275862,0,0,0,0,NO
19.298246,77.192982,0,0,3.508772,3,NO
31.372549,52.941176,0,11.764706,3.921569,5,NO
15.384615,73.076923,3.846154,7.692308,0,0,NO
5.084746,94.915254,0,0,0,0,NO
3.703704,94.444444,0,0,1.851852,0,NO
5.555556,92.592593,0,0,1.851852,0,NO
6.666667,91.666667,0,0,1.666667,0,NO
7.272727,70.909091,0,21.818182,0,0,YES
8.928571,87.5,0,3.571429,0,0,NO
16.071429,82.142857,0,0,1.785714,0,YES
0,96.666667,0,3.333333,0,0,NO
0,0,0,0,0,1,NO
0,93.333333,0,6.666667,0,0,NO
0,96.666667,0,3.333333,0,0,NO
0,100,0,0,0,0,NO
26,64,0,8,2,0,YES
76.470588,0,0,2.941176,20.588235,0,YES
